시도,기준연도,노면상태,사고건수,사망자수,부상자수
전국,2024,건조,176225,2195,249539
전국,2024,기타,2047,17,2876
전국,2024,서리/결빙,646,12,1016
전국,2024,적설,520,5,792
전국,2024,젖음/습기,16911,292,24259
