시도,기준연도,도로종류,사고건수,사망자수,부상자수
전국,2024,일반국도,22307,485,33936
전국,2024,지방도,11912,250,17513
전국,2024,특별광역시도,77560,577,105457
전국,2024,시도,61637,689,86533
전국,2024,군도,7437,234,10234
전국,2024,고속국도,5311,187,11264
전국,2024,기타,10185,99,13545
