시도,기준연도,AP설치수
서울특별시,2026,22800
부산광역시,2026,2630
대구광역시,2026,694
인천광역시,2026,3465
광주광역시,2026,2821
대전광역시,2026,1436
울산광역시,2026,689
경기도,2026,17961
강원특별자치도,2026,5782
충청북도,2026,2625
충청남도,2026,3236
전북특별자치도,2026,2714
전라남도,2026,6725
경상북도,2026,8362
경상남도,2026,5680
세종특별자치시,2026,801
제주특별자치도,2026,3395
대전광역시 동구,2026,57
대전광역시 중구,2026,164
대전광역시 서구,2026,986
대전광역시 유성구,2026,111
대전광역시 대덕구,2026,118
